Entity,Day,Monthly concentration,yearly_avg_co2_conc
World,15/01/08,385.23,383.08334
World,15/02/08,385.75,383.26666
World,15/03/08,386.15,383.44415
World,15/04/08,386.53,383.63165
World,15/05/08,386.48,383.8275
World,15/06/08,385.57,384.02
World,15/07/08,384.1,384.2325
World,15/08/08,382.77,384.43918
World,15/09/08,382.55,384.595
World,15/10/08,383.67,384.72583
World,15/11/08,385.18,384.87
World,15/12/08,386.27,385.02084
World,15/01/09,387.03,385.17084
World,15/02/09,387.48,385.315
World,15/03/09,387.71,385.445
World,15/04/09,387.99,385.56665
World,15/05/09,387.95,385.68918
World,15/06/09,386.96,385.805
World,15/07/09,385.01,385.88083
World,15/08/09,383.63,385.9525
World,15/09/09,383.93,386.0675
World,15/10/09,385.5,386.22
World,15/11/09,386.94,386.36667
World,15/12/09,387.84,386.4975
World,15/01/10,388.62,386.63
World,15/02/10,389.33,386.78418
World,15/03/10,389.68,386.94833
World,15/04/10,389.98,387.11417
World,15/05/10,389.95,387.28082
World,15/06/10,389.01,387.45166
World,15/07/10,387.35,387.64667
World,15/08/10,386.23,387.86334
World,15/09/10,386.7,388.09418
World,15/10/10,388.25,388.32333
World,15/11/10,389.62,388.54666
World,15/12/10,390.36,388.75665
World,15/01/11,390.93,388.94916
World,15/02/11,391.35,389.1175
World,15/03/11,391.67,389.28333
World,15/04/11,392.05,389.45584
World,15/05/11,392.07,389.6325
World,15/06/11,391.13,389.80917
World,15/07/11,389.19,389.9625
World,15/08/11,387.86,390.09833
World,15/09/11,388.26,390.22833
World,15/10/11,389.83,390.36
World,15/11/11,391.2,390.49167
World,15/12/11,392.04,390.63165
World,15/01/12,392.61,390.77167
World,15/02/12,393.2,390.92584
World,15/03/12,393.73,391.0975
World,15/04/12,393.99,391.25916
World,15/05/12,393.88,391.41
World,15/06/12,392.84,391.5525
World,15/07/12,391,391.70334
World,15/08/12,389.89,391.8725
World,15/09/12,390.56,392.06418
World,15/10/12,392.16,392.25833
World,15/11/12,393.56,392.45502
World,15/12/12,394.39,392.65085
World,15/01/13,395.07,392.85583
World,15/02/13,395.7,393.06418
World,15/03/13,396.29,393.2775
World,15/04/13,396.74,393.50668
World,15/05/13,396.75,393.74585
World,15/06/13,395.96,394.00583
World,15/07/13,394.47,394.295
World,15/08/13,393.24,394.57416
World,15/09/13,393.21,394.795
World,15/10/13,394.51,394.99084
World,15/11/13,395.97,395.19168
World,15/12/13,396.88,395.39917
World,15/01/14,397.51,395.6025
World,15/02/14,397.97,395.79166
World,15/03/14,398.27,395.95667
World,15/04/14,398.63,396.11417
World,15/05/14,398.69,396.27582
World,15/06/14,397.72,396.4225
World,15/07/14,396.13,396.56082
World,15/08/14,395.02,396.70917
World,15/09/14,395.12,396.86835
World,15/10/14,396.38,397.02417
World,15/11/14,397.86,397.18167
World,15/12/14,398.84,397.345
World,15/01/15,399.56,397.51584
World,15/02/15,400.12,397.695
World,15/03/15,400.57,397.88666
World,15/04/15,400.96,398.08084
World,15/05/15,400.91,398.26584
World,15/06/15,400.06,398.46082
World,15/07/15,398.38,398.64832
World,15/08/15,397.07,398.81915
World,15/09/15,397.34,399.00415
World,15/10/15,398.8,399.20584
World,15/11/15,400.36,399.41415
World,15/12/15,401.66,399.64917
World,15/01/16,402.63,399.905
World,15/02/16,403.27,400.1675
World,15/03/16,403.86,400.44165
World,15/04/16,404.38,400.72665
World,15/05/16,404.44,401.02084
World,15/06/16,403.65,401.32
World,15/07/16,402.11,401.63083
World,15/08/16,400.8,401.94165
World,15/09/16,400.97,402.24417
World,15/10/16,402.41,402.54498
World,15/11/16,403.78,402.83
World,15/12/16,404.68,403.08167
World,15/01/17,405.32,403.30582
World,15/02/17,405.91,403.52582
World,15/03/17,406.32,403.73083
World,15/04/17,406.61,403.91666
World,15/05/17,406.64,404.1
World,15/06/17,405.84,404.2825
World,15/07/17,404.14,404.45166
World,15/08/17,402.6,404.60168
World,15/09/17,402.68,404.74417
World,15/10/17,404.17,404.89084
World,15/11/17,405.69,405.05
World,15/12/17,406.72,405.22
World,15/01/18,407.51,405.4025
World,15/02/18,408.19,405.5925
World,15/03/18,408.73,405.79333
World,15/04/18,409.03,405.995
World,15/05/18,408.92,406.185
World,15/06/18,408.04,406.36835
World,15/07/18,406.45,406.56085
World,15/08/18,405.08,406.76752
World,15/09/18,405.15,406.97333
World,15/10/18,406.62,407.1775
World,15/11/18,408.1,407.37833
World,15/12/18,409.19,407.58417
World,15/01/19,409.93,407.78583
World,15/02/19,410.35,407.96582
